,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Nonlinear,0,-42771.486772446486,34.25722687886446,0.0,0.8710395040051555,207.461238073326,0.0,False,log
Hierarchical,1,-42938.84121961624,25.295780743130308,167.3544471697584,0.06985270496930525,209.0586998892354,24.306340505268818,False,log
Null,2,-47830.95255850903,22.030371778462722,5059.465786062545,0.05910779102553916,204.0485753231991,111.38309323036852,False,log
