experiment,count,mean,median,std,min,max
Exp1,11232,0.5644629749118198,0.349065850398865,0.651829496115325,0.0,3.14159265358979
Exp2,15360,0.6791421549257727,0.383972435438752,0.7628276879002029,0.0,3.14159265358979
ExpS3,11232,0.6484103284639403,0.349065850398866,0.7540890303380102,0.0,3.14159265358979
