id,setsize,mean_error,sd,n
1,1,0.27013528870419695,0.21980418091091214,536
1,2,0.30354401655020785,0.2844301947673471,536
1,3,0.36557484164440923,0.41525951616672746,536
1,4,0.46736400660213834,0.4897493017574489,536
1,5,0.5656039012526399,0.616056488257372,536
1,6,0.670551591162672,0.6845676460541336,536
1,7,0.7458026340984725,0.7604410003211173,536
1,8,0.8881967538553978,0.8303012607041439,536
2,1,0.24721156121531623,0.23601759894603005,536
2,2,0.34558170431745927,0.3518534771882434,536
2,3,0.4292337723841279,0.5236419099988188,536
2,4,0.5647572863169711,0.6518360100694789,536
2,5,0.762995429715133,0.7981566494870803,536
2,6,0.888294440194129,0.8672487663165878,536
2,7,0.9759842102616797,0.8937057876857868,536
2,8,1.054849647730528,0.9066089405079684,536
3,1,0.3100890012451866,0.2851860040462537,536
3,2,0.4357136328532859,0.450207012230993,536
3,3,0.6024967751800575,0.6564919702729596,536
3,4,0.7869611448171447,0.786974338261793,536
3,5,0.9222892860725258,0.8347454777639944,536
3,6,1.0006011676218982,0.8671353101769115,536
3,7,1.1411392469429344,0.9376616349245264,536
3,8,1.218441702992086,0.9282402691982832,536
4,1,0.21022100094916776,0.18690074625539752,536
4,2,0.2961198548066499,0.2956779069877762,536
4,3,0.40074192358757865,0.4257363636542155,536
4,4,0.5912954083388998,0.6972867100477868,536
4,5,0.6581454261438319,0.701264875006313,536
4,6,0.8628634300111516,0.8250218534097616,536
4,7,0.9932095679912506,0.8836833944208917,536
4,8,1.0672558127493683,0.907661565817438,536
5,1,0.21393308182094675,0.20778616310078946,536
5,2,0.34011126934852187,0.3717457561084487,536
5,3,0.52942739380925,0.594700699579064,536
5,4,0.7230742792870536,0.7689885810239028,536
5,5,0.9056500463753412,0.8546097624628837,536
5,6,1.044266961034667,0.9019353101276734,536
5,7,1.1444931445726994,0.9234252153050784,536
5,8,1.1346919485866866,0.9368640950061311,536
6,1,0.1994755036887549,0.20385630279758052,536
6,2,0.2659347761387628,0.2659979096859295,536
6,3,0.30670254150251103,0.3537960719761801,536
6,4,0.41132461028343964,0.5122177568205794,536
6,5,0.42161423796310776,0.507428435075157,536
6,6,0.6345053321709236,0.7589785388665313,536
6,7,0.7477237987601826,0.8267149388614173,536
6,8,0.8319294227463269,0.8569938268737961,536
7,1,0.30430138717641875,0.2644274419246979,216
7,2,0.37993232142950645,0.36283880969209936,216
7,3,0.432615408110076,0.480137395186739,216
7,4,0.5281237032886547,0.5591461497380511,216
7,5,0.6721133665781865,0.730513533155257,216
7,6,0.6982933053581014,0.7192789441713426,216
7,7,0.8495551738642771,0.7921183038626416,216
7,8,0.9510428377765395,0.8470688269895683,216
8,1,0.27456614806836716,0.2553041917902923,216
8,2,0.3818715761539445,0.364087077018933,216
8,3,0.5095391788461223,0.595999031449171,216
8,4,0.7168778298006337,0.7804177129886958,216
8,5,0.9135505797707357,0.8882278429313866,216
8,6,1.0693373759672664,0.8999273454754041,216
8,7,1.1735723174058166,0.9496777625337158,216
8,8,1.1700170170776802,0.8856632282798984,216
9,1,0.2548503917032461,0.26160112791089535,216
9,2,0.3274108393093066,0.3656299012734273,216
9,3,0.39690080026834024,0.4672934839103665,216
9,4,0.5732113756318411,0.6824117975463728,216
9,5,0.6557913059808322,0.7651287446713185,216
9,6,0.8658772344616312,0.8564962404507414,216
9,7,1.0016250651723015,0.9324571568097428,216
9,8,1.005341970060808,0.9614904778950335,216
10,1,0.29282746339015964,0.27323477629423853,216
10,2,0.408536328614969,0.3799667072611068,216
10,3,0.6244400212690823,0.6539501071762409,216
10,4,0.8215975849202937,0.7988627748426922,216
10,5,1.083396972719443,0.9151382595712635,216
10,6,1.1444834965392445,0.8908830632246776,216
10,7,1.235951677708577,0.9187059475659513,216
10,8,1.353114983976715,0.9971228711366429,216
11,1,0.24046758583032993,0.23676393653144348,216
11,2,0.2986452275634741,0.28750560299427036,216
11,3,0.36587272467732984,0.4208761516690171,216
11,4,0.46105781073516877,0.5489647200600563,216
11,5,0.4455437729396635,0.49347544352885614,216
11,6,0.6042394512228517,0.6743649762741827,216
11,7,0.7078279744199226,0.7475921985762118,216
11,8,0.7091208109028813,0.7589276263800032,216
12,1,0.2635770379632178,0.2113712966116875,216
12,2,0.3485810367177564,0.40175883175607324,216
12,3,0.466875574908483,0.5538620781067198,216
12,4,0.4988732778617125,0.5605241882882845,216
12,5,0.4671987840292228,0.5860705632113181,216
12,6,0.7803884220259831,0.810965503246853,216
12,7,0.6714669483367074,0.7324271013790842,216
12,8,0.7125145066706481,0.7324478782405216,216
13,1,0.25081027769399994,0.22702817485499066,216
13,2,0.32062344777377316,0.30272696093014606,216
13,3,0.3695896295658362,0.3877860533489991,216
13,4,0.40934435141681824,0.44914019773520636,216
13,5,0.3944767318627925,0.4859910027852253,216
13,6,0.4780262895740026,0.5590319244892085,216
13,7,0.6296113672009176,0.7428252816964691,216
13,8,0.7254428715002358,0.764456522232385,216
