experiment,id,count,mean_error,median,std
Exp1,1,864,0.42041426380215263,0.244346095279206,0.5169218336689777
Exp1,2,864,0.5299013534527227,0.31415926535898,0.591513605334032
Exp1,3,864,0.538506796292417,0.314159265358979,0.6451721019701865
Exp1,4,864,0.6779715318915935,0.4363323129985825,0.6992156778580955
Exp1,5,864,0.6723961745588339,0.418879020478639,0.7230609835767816
Exp1,6,864,0.5581013492372607,0.279252680319093,0.7189688340526506
Exp1,7,864,0.539638028215006,0.383972435438752,0.5547596842842353
Exp1,8,864,0.7463302609280381,0.453785605518525,0.7828755268126625
Exp1,9,864,0.5837560731959739,0.3141592653589795,0.7013086240527234
Exp1,10,864,0.8378792443775555,0.523598775598298,0.8185155480054915
Exp1,11,864,0.4495434858088172,0.279252680319093,0.5441751479071153
Exp1,12,864,0.376134614260815,0.279252680319093,0.37714860750132867
Exp1,13,864,0.4074454978324726,0.2792526803190925,0.4657912101646167
Exp2,1,2560,0.5830899593986993,0.383972435438753,0.6182989771481394
Exp2,2,2560,0.7134374202146352,0.366519142918809,0.8078289896543013
Exp2,3,2560,0.9493363946218845,0.645771823237902,0.8519544436987498
Exp2,4,2560,0.6073813973864173,0.314159265358978,0.743805284073282
Exp2,5,2560,0.7984199558634997,0.436332312998582,0.8442811086938077
Exp2,6,2560,0.4231878020695,0.261799387799149,0.5453866399592436
ExpS3,1,864,0.5050950534359516,0.244346095279206,0.6635148063038314
ExpS3,2,864,0.6248844338100994,0.349065850398866,0.7089970557133182
ExpS3,3,864,0.630015378601842,0.314159265358979,0.7372893264300088
ExpS3,4,864,0.6737698133219777,0.418879020478639,0.7233604576242404
ExpS3,5,864,0.7062523299563166,0.383972435438752,0.8047531062282791
ExpS3,6,864,0.557333727575504,0.279252680319092,0.7227178830264122
ExpS3,7,864,0.6643563476804343,0.383972435438752,0.747907247764306
ExpS3,8,864,0.8060027448446035,0.418879020478639,0.8475756793208719
ExpS3,9,864,0.6864961724511028,0.314159265358979,0.8096923087073786
ExpS3,10,864,0.9032078879070654,0.523598775598299,0.8870646111096391
ExpS3,11,864,0.5086503537640882,0.279252680319093,0.6073044553107352
ExpS3,12,864,0.6762342828676178,0.383972435438753,0.7698527432699593
ExpS3,13,864,0.4870357438146214,0.279252680319093,0.6059586157656679
