parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,prior
alpha,0.827,0.103,0.619,1.017,0.002,0.002,3903.0,2691.0,1.0,Primary
beta,-0.336,0.004,-0.343,-0.329,0.0,0.0,6604.0,3217.0,1.0,Primary
sigma_alpha,0.368,0.086,0.236,0.529,0.002,0.002,3823.0,2676.0,1.0,Primary
alpha,0.826,0.103,0.637,1.025,0.002,0.002,3972.0,2584.0,1.0,Weak
beta,-0.336,0.004,-0.343,-0.329,0.0,0.0,5745.0,2924.0,1.0,Weak
sigma_alpha,0.366,0.086,0.229,0.517,0.002,0.002,3930.0,2796.0,1.0,Weak
alpha,0.819,0.101,0.627,1.009,0.002,0.002,4499.0,2710.0,1.0,Strong
beta,-0.336,0.004,-0.343,-0.329,0.0,0.0,7083.0,3182.0,1.0,Strong
sigma_alpha,0.366,0.084,0.232,0.516,0.001,0.002,4110.0,2264.0,1.0,Strong
