setsize,count,mean,median,std,min,max
1,4728,0.25045548595613215,0.174532925199434,0.23544187075599984,0.0,3.03687289847013
2,4728,0.3379028308175824,0.244346095279206,0.34941070915683675,0.0,3.05432619099008
3,4728,0.4432612110654042,0.279252680319093,0.5176931748660157,0.0,3.14159265358979
4,4728,0.5850175321437338,0.349065850398866,0.6663851680802733,0.0,3.14159265358979
5,4728,0.6918746511316354,0.418879020478639,0.7510928462274408,0.0,3.14159265358979
6,4728,0.8359898245619624,0.506145483078356,0.827344716945545,0.0,3.14159265358979
7,4728,0.9381033985227643,0.593411945678072,0.8806116146497303,0.0,3.14159265358979
8,4728,1.0050888989599238,0.663225115757846,0.8989835754705421,0.0,3.14159265358979
